task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,loss_ratio_vs_uniform_fill,actual_cost,uniform_fill_cost,cost_gap_vs_uniform_fill
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,effective_rank,effective_rank,effective_rank,candidate,False,-0.022074380889535002,0.0,0.38711374483091204,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.022074380889535002,0.0,0.38711374483091204,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.023586578201502603,0.0,0.3451281982261617,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.021312592783942902,0.0,0.40826448339998506,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.013517919229343603,0.0,0.6246804412948078,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,uniform,uniform,uniform,cap_baseline,False,0.0005914864595979001,0.0,1.0400735570372834,1408,1536,-128
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.006558375083841399,0.0,0.5556662139436226,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.006558375083841399,0.0,0.5556662139436226,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.009366489888634599,0.0,0.3654147771252368,1536,1536,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.0076493580127135,0.0,0.48175147605329144,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.0094227643567138,0.0,0.3616021486707365,1536,1536,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,uniform,uniform,uniform,cap_baseline,False,-0.003611734835430999,0.0,0.6862628058266216,1408,1536,-128
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.006877873907797099,0.0,0.402546155785811,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.006877873907797099,0.0,0.402546155785811,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.007087884529028099,0.0,0.3843033594417213,1536,1536,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.006021969718858599,0.0,0.47689518497935696,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.0065154321491718995,0.0,0.4340300452692884,1536,1536,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,uniform,uniform,uniform,cap_baseline,False,-0.0009990327525884,0.0,0.9047627407969616,1408,1536,-128
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.0038929379079490995,0.0,0.6288883065744371,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.0038929379079490995,0.0,0.6288883065744371,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.005505798908416199,0.0,0.4751351280505275,1536,1536,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.004168265440966899,0.0,0.6026414797713998,1472,1536,-64
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.005351156753022199,0.0,0.4898770822044997,1536,1536,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,1,uniform,uniform,uniform,cap_baseline,False,-0.0005862110992893993,0.0,0.9627387228679227,1408,1536,-128
