task_family,run,seed,scaling_mode,budget,best_loss_condition_id,best_loss_rule,best_loss,best_accuracy_condition_id,best_accuracy_rule,best_accuracy
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,512,marginal_gain_edge,marginal_gain_edge,1.4187207871991812,marginal_gain_edge,marginal_gain_edge,0.567811307665626
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,1024,marginal_gain_edge,marginal_gain_edge,0.5920296367613177,marginal_gain_edge,marginal_gain_edge,0.8321193201526188
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,1536,soft_dimension,soft_dimension,0.35086676193077526,soft_dimension,soft_dimension,0.9573361082206034
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,2048,effective_rank,effective_rank,0.21843066310721304,effective_rank,effective_rank,0.9823100936524454
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,3072,marginal_gain_edge,marginal_gain_edge,0.1074383696886842,marginal_gain_edge,marginal_gain_edge,0.9996531390912243
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,4096,gradient_norm,gradient_norm,0.0920078847460394,gradient_norm,gradient_norm,0.9965313909122441
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,512,uniform_fill,uniform_fill,1.4824385657064045,marginal_gain_edge,marginal_gain_edge,0.5379812695109262
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,1024,uniform_fill,uniform_fill,0.6302408805085352,effective_rank,effective_rank,0.8099202219909817
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,1536,soft_dimension,soft_dimension,0.38489514247146356,soft_dimension,soft_dimension,0.9372181755116199
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,2048,gradient_norm,gradient_norm,0.24205389012076398,gradient_norm,gradient_norm,0.9767603191120361
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,3072,marginal_gain_edge,marginal_gain_edge,0.1139918334789876,soft_dimension,soft_dimension,0.9979188345473465
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,4096,effective_rank,effective_rank,0.08908697639979957,effective_rank,effective_rank,0.9972251127297954
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,512,marginal_gain_edge,marginal_gain_edge,1.5650278185541084,marginal_gain_edge,marginal_gain_edge,0.5046826222684703
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,1024,gradient_norm,gradient_norm,0.7030579082220741,gradient_norm,gradient_norm,0.7929240374609782
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,1536,soft_dimension,soft_dimension,0.40913127879074285,soft_dimension,soft_dimension,0.9236906000693722
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,2048,gradient_norm,gradient_norm,0.2621907737161647,gradient_norm,gradient_norm,0.9701699618453
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,3072,marginal_gain_edge,marginal_gain_edge,0.12000512500738376,marginal_gain_edge,marginal_gain_edge,0.9961845300034685
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,4096,gradient_norm,gradient_norm,0.0920078847460394,gradient_norm,gradient_norm,0.9965313909122441
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,512,effective_rank,effective_rank,2.2444426629264616,effective_rank,effective_rank,0.22476586888657638
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,1024,marginal_gain_edge,marginal_gain_edge,1.3936913682485759,marginal_gain_edge,marginal_gain_edge,0.5157821713492889
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,1536,marginal_gain_edge,marginal_gain_edge,0.8241632465600057,marginal_gain_edge,marginal_gain_edge,0.7845993756503642
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,2048,marginal_gain_edge,marginal_gain_edge,0.33185923325903827,marginal_gain_edge,marginal_gain_edge,0.9823100936524454
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,3072,marginal_gain_edge,marginal_gain_edge,0.23645732811019934,marginal_gain_edge,marginal_gain_edge,0.9871661463753035
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,4096,soft_dimension,soft_dimension,0.24229425313858943,soft_dimension,soft_dimension,0.9812695109261186
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,512,effective_rank,effective_rank,2.274165995039131,effective_rank,effective_rank,0.20846340617412415
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,1024,marginal_gain_edge,marginal_gain_edge,1.4637946476342567,marginal_gain_edge,marginal_gain_edge,0.48560527228581335
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,1536,effective_rank,effective_rank,1.05279210566482,effective_rank,effective_rank,0.6805411030176899
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,2048,marginal_gain_edge,marginal_gain_edge,0.3733701313220086,marginal_gain_edge,marginal_gain_edge,0.9621921609434617
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,3072,marginal_gain_soft,marginal_gain_soft,0.2608627763279932,marginal_gain_soft,marginal_gain_soft,0.9791883454734652
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,4096,soft_dimension,soft_dimension,0.24304039656413,soft_dimension,soft_dimension,0.9823100936524455
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,512,effective_rank,effective_rank,2.2666734969330626,effective_rank,effective_rank,0.21748178980228927
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,1024,marginal_gain_edge,marginal_gain_edge,2.0799166400358984,gradient_norm,gradient_norm,0.3381893860561915
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,1536,uniform_fill,uniform_fill,1.5307953474300833,gradient_norm,gradient_norm,0.5109261186264308
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,2048,soft_dimension,soft_dimension,0.8833271805875382,soft_dimension,soft_dimension,0.7339576829691294
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,3072,marginal_gain_soft,marginal_gain_soft,0.31675525425706846,marginal_gain_soft,marginal_gain_soft,0.9694762400277489
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,4096,gradient_norm,gradient_norm,0.2842264972366147,gradient_norm,gradient_norm,0.9670482136663198
modular,transformer_publication_20260622T101458Z_modular_seed109,109,fixed_update_scale,512,effective_rank,effective_rank,1.8470258283565493,effective_rank,effective_rank,0.44328824141519246
